player,elo_global,elo_clay,elo_hard,elo_grass
Khachanov K.,1754.6375826799247,1722.9024741543062,1700.7068473844413,1701.7344311075371
Humbert U.,1753.9448907248652,1438.9067124897185,1797.17886106061,1587.0665259032035
Brooksby J.,1752.6143653021752,1547.0314898350343,1688.5667532600746,1600.4652436099936
Rublev A.,1752.0553736071727,1747.8614086802959,1685.7932082549032,1713.9650313404015
Berrettini M.,1747.9128798956883,1819.1466563094282,1702.1638301758721,1776.6874997052166
Cobolli F.,1746.4181713139108,1706.7842643912018,1615.6597110481107,1650.1839718974802
Fucsovics M.,1745.587385642331,1615.2128460392928,1665.6653536234364,1655.421106126362
Nalbandian D.,1744.9867393960114,1708.6273905308306,1752.4626080478686,1688.8116418191273
Fish M.,1740.0154918053927,1534.3469125552563,1713.9790766979838,1794.3602929348785
Dolgopolov O.,1735.424443566817,1675.6576441166674,1706.1636731046244,1579.938466785683
Korda S.,1730.5456395685299,1600.9030877369262,1700.5049594862796,1640.703344183023
Moutet C.,1722.7936302782036,1535.9433267625668,1668.8563664268847,1594.4243507146596
Berdych T.,1722.49847584494,1745.9533936637724,1747.5579379116657,1790.4654439999797
Mensik J.,1721.7098942942116,1573.615950357411,1734.0453345088513,1537.037037246263
Chung H.,1719.677861119922,1601.811070783491,1685.916768763079,1470.2456480175176
Cerundolo F.,1716.4085224494866,1707.4465599278665,1694.1744093607156,1456.7183871156851
Escude N.,1710.0241157448227,1495.076421650582,1679.135483257002,1562.439639369176
Tiafoe F.,1709.2780021180436,1624.2721584887458,1681.5060980292196,1610.8234250574276
Kokkinakis T.,1708.5053747942638,1530.576273645009,1674.5969249331652,1544.0921308821207
Diallo G.,1703.1882444765197,1552.9966771137374,1604.1040857139214,1604.2836588945854
Vacherot V.,1701.2644812065976,1468.4287096258863,1704.3947404796943,1500.0
Struff J.L.,1700.4158453924244,1623.8729167953109,1621.087961235728,1643.7344918220904
Shapovalov D.,1695.0387021408283,1571.5945652733933,1717.5347153414693,1546.1039452875814
Mannarino A.,1694.6927054683686,1343.049655325142,1653.0141368230627,1615.329029883088
Cilic M.,1693.5387894481785,1669.0187762940325,1637.5803771279623,1815.1150699004795
Stepanek R.,1691.5050292638061,1608.8087480365468,1633.9958696728456,1652.1247452028322
Safin M.,1689.0255532718782,1581.2883303446583,1673.5968750502875,1721.277425247526
Rios M.,1684.793440636371,1552.3443676973666,1694.3068638801376,1500.0
Bergs Z.,1684.0751467860646,1490.796146132385,1675.1937622806838,1463.6983206686814
Nishikori K.,1683.643237347309,1745.3212909694114,1693.4194633999557,1689.5366817027855
Griekspoor T.,1682.3278280448071,1605.292224527427,1646.595149779796,1643.7564171231375
Borges N.,1679.8813940520906,1612.185297408222,1636.502629223253,1490.3729635458824
Johansson J.,1676.0964804866771,1422.1237165090347,1691.782478497462,1571.8592359684949
Tabilo A.,1675.076446627833,1556.25099841015,1626.179760597246,1589.3622803087576
Popyrin A.,1674.8639000403662,1594.0464175176435,1646.0634213583878,1443.0560986079065
Ferrero J.C.,1674.698159468778,1687.9663607477576,1658.9795140164315,1697.5790738209537
Marozsan F.,1674.5396727389978,1572.8005489807992,1647.116008701231,1451.4079362892614
Sonego L.,1673.439838393948,1522.371631906553,1647.1065946318927,1630.1233846241169
Janowicz J.,1669.4964041061191,1502.659075909897,1639.0781377574324,1642.7647043325592
Ferrer D.,1668.7037301177138,1703.1691847303694,1688.8535749475004,1620.1681368447867
Nakashima B.,1668.3999965326748,1532.581133545472,1632.990508552418,1627.544115971696
Benneteau J.,1666.9303079358292,1505.0858375467549,1627.0923384597597,1556.8127640854393
Ljubicic I.,1666.1035261068068,1685.2671527714367,1630.474207196847,1571.8546082897487
