winrate_diff,odds_diff,matches_diff,rank_diff,a_wins
-0.25,0.7768571428571447,2.0,0.0,1
0.25,-0.7768571428571447,-2.0,0.0,0
0.37777777777777777,-0.915500000000002,1.0,0.0,1
-0.37777777777777777,0.915500000000002,-1.0,0.0,0
0.050000000000000044,-0.7272500000000002,2.0,0.0,1
-0.050000000000000044,0.7272500000000002,-2.0,0.0,0
0.20000000000000007,-0.5730952380952383,0.0,0.0,1
-0.20000000000000007,0.5730952380952383,0.0,0.0,0
0.44999999999999996,-1.6156666666666661,2.0,0.0,1
-0.44999999999999996,1.6156666666666661,-2.0,0.0,0
0.09999999999999998,-0.15049999999999786,0.0,0.0,1
-0.09999999999999998,0.15049999999999786,0.0,0.0,0
-0.125,-1.1187499999999986,2.0,0.0,1
0.125,1.1187499999999986,-2.0,0.0,0
0.3,-0.7582500000000021,0.0,0.0,1
-0.3,0.7582500000000021,0.0,0.0,0
0.0,-0.8083333333333313,2.0,0.0,1
0.0,0.8083333333333313,-2.0,0.0,0
-0.3,-0.9835000000000018,0.0,0.0,1
0.3,0.9835000000000018,0.0,0.0,0
-0.047619047619047616,0.13000000000000367,-2.0,0.0,1
0.047619047619047616,-0.13000000000000367,2.0,0.0,0
0.0,0.9501666666666673,0.0,0.0,1
0.0,-0.9501666666666673,0.0,0.0,0
0.0,0.16555555555555523,0.0,0.0,1
0.0,-0.16555555555555523,0.0,0.0,0
-0.4666666666666666,-0.48974999999999946,1.0,0.0,1
0.4666666666666666,0.48974999999999946,-1.0,0.0,0
-0.11111111111111105,0.8004999999999993,0.0,0.0,1
0.11111111111111105,-0.8004999999999993,0.0,0.0,0
-0.041666666666666685,0.13263888888888786,1.0,0.0,1
0.041666666666666685,-0.13263888888888786,-1.0,0.0,0
-0.09999999999999998,0.2746333333333346,0.0,0.0,1
0.09999999999999998,-0.2746333333333346,0.0,0.0,0
0.025000000000000022,-1.1571666666666671,2.0,0.0,1
-0.025000000000000022,1.1571666666666671,-2.0,0.0,0
0.24444444444444446,-0.7524285714285723,1.0,0.0,1
-0.24444444444444446,0.7524285714285723,-1.0,0.0,0
0.4,-3.087833333333334,2.0,0.0,1
-0.4,3.087833333333334,-2.0,0.0,0
-0.10000000000000009,0.050977777777776234,0.0,0.0,1
0.10000000000000009,-0.050977777777776234,0.0,0.0,0
0.26666666666666666,0.22150000000000025,1.0,0.0,1
-0.26666666666666666,-0.22150000000000025,-1.0,0.0,0
-0.09999999999999998,-0.6840000000000035,4.0,0.0,1
0.09999999999999998,0.6840000000000035,-4.0,0.0,0
-0.09999999999999998,-1.2229333333333345,0.0,0.0,1
0.09999999999999998,1.2229333333333345,0.0,0.0,0
-0.05555555555555558,-1.7392222222222233,1.0,0.0,1
0.05555555555555558,1.7392222222222233,-1.0,0.0,0
0.0,-0.2632063492063499,0.0,0.0,1
0.0,0.2632063492063499,0.0,0.0,0
0.3571428571428572,-0.758214285714286,3.0,0.0,1
-0.3571428571428572,0.758214285714286,-3.0,0.0,0
0.26666666666666666,-1.7570952380952367,1.0,0.0,1
-0.26666666666666666,1.7570952380952367,-1.0,0.0,0
-0.1527777777777778,-1.8733750000000011,-1.0,0.0,1
0.1527777777777778,1.8733750000000011,1.0,0.0,0
-0.19047619047619052,0.6105000000000018,-2.0,0.0,1
0.19047619047619052,-0.6105000000000018,2.0,0.0,0
0.29999999999999993,0.2366666666666628,0.0,0.0,1
-0.29999999999999993,-0.2366666666666628,0.0,0.0,0
0.0,-2.162361111111111,0.0,0.0,1
0.0,2.162361111111111,0.0,0.0,0
0.2142857142857143,-1.8147499999999959,3.0,0.0,1
-0.2142857142857143,1.8147499999999959,-3.0,0.0,0
-0.2142857142857143,0.5538571428571433,-3.0,0.0,1
0.2142857142857143,-0.5538571428571433,3.0,0.0,0
0.1111111111111111,0.6198095238095238,0.0,0.0,1
-0.1111111111111111,-0.6198095238095238,0.0,0.0,0
0.16666666666666669,-0.3326000000000007,1.0,0.0,1
-0.16666666666666669,0.3326000000000007,-1.0,0.0,0
0.12698412698412698,-0.9422222222222225,-2.0,0.0,1
-0.12698412698412698,0.9422222222222225,2.0,0.0,0
0.29166666666666663,-1.1688392857142855,1.0,0.0,1
-0.29166666666666663,1.1688392857142855,-1.0,0.0,0
