player,winrate_last10
Davydenko N.,0.6097308488612837
Davydenko N. ,0.6666666666666666
De Bakker T.,0.46284722222222224
De Chaunac S.,0.5
De Greef A.,0.6875
De Heart R.,0.75
De Jong J.,0.5912698412698413
De Minaur A.,0.6387030738221214
De Schepper K.,0.3686868686868687
De Voest R.,0.5
Deheart R.,0.4444444444444444
Del Potro J.M.,0.6961182336182337
Delbonis F.,0.3722222222222222
Delgado J.,0.35
Delgado R.,0.39351851851851855
Delic A.,0.35
Delic M.,0.4444444444444444
Dell'Acqua M.,0.375
Dellien H.,0.35
Dent T.,0.4856559290382819
Dev Varman S.,0.35
Devilder N.,0.35
Devvarman S.,0.5322128851540616
Dhamne M.,0.35
Di Pasquale A.,0.35
Diallo G.,0.35
Diaz Acosta F.,0.4444444444444445
Diaz J.,0.4166666666666667
Dimitrov G.,0.6029024349704978
Djere L.,0.4283950617283951
Djokovic N.,0.75
Djokovic N. ,0.75
Djuric B.,0.75
Dlouhy L.,0.7470238095238094
Dodig I.,0.4854359156597963
Dolgopolov O.,0.528673835125448
Donaldson J.,0.43333333333333335
Donski A.,0.35
Donskoy E.,0.35
Dorsch B.,0.35
Dosedel S.,0.35
Draper J.,0.6283998283998283
Draper S.,0.6222222222222222
Droguet T.,0.35
Duckworth J.,0.4396198830409357
Duclos P.L.,0.35
Dupuis A.,0.3773148148148148
Durasovic V.,0.35
Durek R.,0.35
Dutra Da Silva R.,0.35
Dutra Silva R.,0.35
Dzumhur D.,0.35
Ebden M.,0.417063492063492
Echargui M.,0.4444444444444444
Economidis K.,0.375
Edmund K.,0.5019914756025867
Eitzinger R.,0.5555555555555556
El Amrani R.,0.5
El Aynaoui Y.,0.35
Eleskovic E.,0.4074074074074074
Elgin M.,0.375
Elias G.,0.3571428571428571
Elseneer G.,0.35
Elsner D.,0.35
Enqvist T.,0.5683185677371724
Erlich J.,0.6111111111111112
Eschauer W.,0.5
Escobedo E.,0.35
Escude N.,0.6160493827160494
Estrella Burgos V.,0.5777777777777777
Etcheverry T.,0.35
Etlis G.,0.3703703703703704
Eubanks C.,0.43128019323671496
Evans B.,0.35
Evans D.,0.5266296296296296
Fabbiano T.,0.35
Falla A.,0.35
Falla A. ,0.35
Fancutt T.,0.35
Farah R.,0.35
Faurel J.C.,0.35
Fearnley J.,0.35
Federer R.,0.75
Federer R. ,0.75
Ferreira Silva F.,0.625
Ferreira W.,0.46067927170868345
Ferrer D.,0.609775641025641
Ferrer D. ,0.6111111111111112
Ferrero J.C.,0.5922657952069716
Ferrero J.C. ,0.4444444444444444
Fils A.,0.5938888888888889
Fischer M.,0.5185185185185185
Fish A.,0.5
Fish M.,0.5773280423280422
Fleishman Z.,0.35
Fognini F.,0.46907948094079477
Fonseca J.,0.5111111111111111
Forejtek J.,0.625
Fratangelo B.,0.6137667887667888
Fritz T.,0.5980034722222222
Fromberg R.,0.6296296296296297
Fucsovics M.,0.5548015873015872
Fukarek O.,0.4444444444444444
Furlan R.,0.375
Gabashvili T.,0.35
Gaio F.,0.35
Galan D.E.,0.35
Galarneau A.,0.35
Galimberti G.,0.35
Galvani S.,0.35
Gambill J. M.,0.35
Gambill J.M.,0.5768879268879269
Garcia A.,0.35
Garcia-Lopez G.,0.4485894097222222
Garcia-Lopez G. ,0.35
Garin C.,0.4275252525252525
Gasquet R.,0.6055103884372177
Gasquet R. ,0.5555555555555556
Gaston H.,0.40277777777777773
Gaudenzi A.,0.35
Gaudio G.,0.3655555555555556
Gea A.,0.5555555555555556
Gerasimov E.,0.4626262626262626
Giannessi A.,0.35
Gicquel M.,0.47940379403794037
Gigante M.,0.75
Gil F.,0.47740740740740745
Gimelstob J.,0.3825396825396825
Gimeno-Traver D.,0.35
Gimeno-Traver D. ,0.35
Ginepri R.,0.42133487654320984
Giraldo S.,0.4271186440677966
Giron M.,0.5152592592592593
Godwin N.,0.3703703703703704
Goellner M.K.,0.35
Goffin D.,0.5250631313131313
Gojo B.,0.3909090909090909
Gojowczyk P.,0.42222222222222217
Goldstein P.,0.35185185185185186
Golmard J.,0.46148148148148144
Golubev A.,0.35
Gombos N.,0.4302469135802469
Gomez E.,0.4259259259259259
Gomez L.,0.4375
Gong M.X.,0.40178571428571425
Gonzalez A.,0.3571428571428571
Gonzalez F.,0.6494859307359307
Gonzalez F. ,0.6666666666666666
Gonzalez M.,0.6875
Gooding J.,0.7142857142857143
Granollers M.,0.46304290947148086
Granollers M. ,0.35
Gregorc L.,0.375
Gremelmayr D.,0.37307692307692303
Grenier H.,0.35
Greul S.,0.35
Greul S. ,0.5555555555555556
Griekspoor T.,0.569760101010101
Grosjean S.,0.5242894056847546
Groth S.,0.3859903381642512
Guccione C.,0.4911877394636015
Guez D.,0.3611111111111111
Guinard M.,0.375
Gulbis E.,0.5069380440348182
Gunneswaran P.,0.35
Gustafsson M.,0.4375
Guzman J.P.,0.625
Haas T.,0.6709920634920634
Haase R.,0.4378205128205128
Habib H.,0.35
Haehnel J.,0.375
Haider-Mauer A.,0.5714285714285714
Haider-Maurer A.,0.5793650793650794
Hajek J.,0.35
Hajji A.,0.35
Halys Q.,0.3888888888888889
Hanescu V.,0.3659259259259259
Hanescu V. ,0.4444444444444444
Hanfmann Y.,0.4055555555555555
Hank T.,0.5555555555555556
Hantschek M.,0.625
Hantschk M.,0.4693877551020408
Harris A.,0.38095238095238093
Harris B.,0.4761904761904761
Harris L.,0.6053968253968254
Harrison C.,0.41666666666666663
Harrison R.,0.4487117552334944
Hartfield D.,0.35
Healey N.,0.35
Hemery C.,0.42857142857142855
Henman T.,0.6610719184793259
Herbert P.,0.5555555555555556
Herbert P.H,0.5625
Herbert P.H.,0.48630268199233717
Hernandez A.,0.75
Hernandez O.,0.59375
Hernandez O. ,0.375
Hernych J.,0.4268408289241623
Hernych J. ,0.35
Heuberger I.,0.4296875
Hewitt L.,0.7060952380952381
Hijikata R.,0.44329501915708813
Hipfl M.,0.4444444444444444
Hippensteel K.,0.4375
Hirigoyen I.,0.4285714285714285
Hoang A.,0.35
Holmgren A.,0.35
Holt B.,0.35
Hong S.,0.35
Horna L.,0.35
Hrbaty D.,0.5791842475386779
Hsu Y.,0.4444444444444444
Huesler M.A.,0.4803703703703704
Huet S.,0.4444444444444444
Humbert U.,0.5510364842454395
Hurkacz H.,0.62005772005772
Huta Galung J.,0.4861111111111111
Hutchins R.,0.35
Ignatik U.,0.35
Ilhan M.,0.35
Ilie A.,0.35
Ilkel C.,0.35
Im K.T.,0.375
Ishii Y.,0.375
Isner J.,0.6304027777777778
Isner J. ,0.6666666666666666
Istomin D.,0.4623626373626374
Ito T.,0.35
Ittogi T.,0.35
Ivanisevic G.,0.3746527777777778
Ivanov I.,0.5555555555555556
Ivanov-Smolensky K.,0.5
Ivashka I.,0.541220238095238
Iwabuchi S.,0.5
Iwami T.,0.375
Jacquet K.,0.45238095238095233
Janowicz J.,0.5568915343915344
Jarry N.,0.47530864197530864
Jasika O.,0.4444444444444444
Jaziri M.,0.35
Jelenic P.,0.38888888888888884
Jenkins S.,0.375
Johansson J.,0.707688492063492
Johansson T.,0.4685185185185185
Johnson S.,0.450480109739369
Jones A.,0.35
Jones G.,0.35
Jones G.D.,0.35
Jonsson F.,0.35
Jouan R.,0.35
Joyce M.,0.35
Jun W.,0.35
Jun W.S.,0.35
Junaid R.,0.35
Jung J.,0.35
Junqueira D.,0.55
Kadhe A.,0.4508928571428571
Kafelnikov Y.,0.7092114150624789
Kamke T.,0.35
Karanusic R.,0.35
Karatsev A.,0.3928921568627451
Karlovic I.,0.513658881811748
Karlovic I. ,0.4444444444444444
Kavcic B.,0.4327020202020202
Kecmanovic M.,0.4340740740740741
Kempes E.,0.5370370370370371
Kendrick R.,0.48376068376068376
Ketola T.,0.3611111111111111
Khachanov K.,0.5723524305555555
Khalfan S.,0.5
Kicker N.,0.4166666666666667
Kiefer N.,0.5073937908496733
Kim A.,0.4074074074074074
Kim K.,0.4377450980392157
Kimmich M.,0.35
King D.,0.35
King E.,0.38095238095238093
King K.,0.5
King P.,0.5
King-Turner D.,0.35
Kirkin E.,0.35
Klaasen R.,0.35
Klahn B.,0.35
Klec I.,0.35
Klein B.,0.35
Klein L.,0.37783446712018137
Klizan M.,0.43871252204585537
Knippschild J.,0.4444444444444444
Knowle J.,0.3541666666666667
Koellerer D.,0.35
Koellerer D. ,0.375
Koepfer D.,0.43345410628019326
Kohlmann M.,0.42857142857142855
Kohlschreiber P.,0.5255752794214332
Kohlschreiber P. ,0.35
Kokkinakis T.,0.44748931623931626
Koll H.,0.4444444444444444
Kondo H.,0.5625
Kopriva V.,0.6857142857142857
Korda S.,0.6770238095238096
